datetime,AREX,WLL,cash,commission,total,returns,equity_curve,drawdown
2007-11-08 10:41:00,0.0,0.0,100000.0,0.0,100000.0,,,
2018-03-02 07:30:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:32:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:34:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:35:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:36:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:37:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:38:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:39:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:40:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:41:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:42:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:45:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:46:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:48:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:49:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:50:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:51:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:52:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:53:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:54:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:55:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:57:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 07:59:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:01:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:02:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:03:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:05:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:08:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:09:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:10:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:11:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:14:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:15:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:17:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:18:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:20:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:25:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:28:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:29:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:31:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:32:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:34:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:35:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:38:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:39:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:40:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:41:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:45:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:47:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:51:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:52:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:53:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 08:54:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 09:01:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 09:07:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 09:08:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 09:10:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 09:11:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 09:12:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 09:13:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-03-02 09:14:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
